c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	disease	Neoplasms ; Skin and Connective Tissue Diseases	611	C0006142	ALL
C0030567	Parkinson Disease	disease	Neoplasms ; Skin and Connective Tissue Diseases	601	C0678222	ALL
C0030567	Parkinson Disease	disease	Mental Disorders ; Nervous System Diseases	582	C0002395	ALL
C0030567	Parkinson Disease	phenotype	Neoplasms ; Pathological Conditions, Signs and Symptoms	508	C0596263	ALL
C0030567	Parkinson Disease	group	null	507	C3887505	ALL
C0030567	Parkinson Disease	phenotype	Neoplasms ; Pathological Conditions, Signs and Symptoms	504	C0027627	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases ; Neoplasms	501	C2239176	ALL
C0030567	Parkinson Disease	disease	Male Urogenital Diseases ; Neoplasms	485	C0376358	ALL
C0030567	Parkinson Disease	disease	null	469	C0600139	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases ; Neoplasms	421	C1527249	ALL
C0030567	Parkinson Disease	disease	Mental Disorders	416	C0036341	ALL
C0030567	Parkinson Disease	disease	Neoplasms ; Respiratory Tract Diseases	413	C0242379	ALL
C0030567	Parkinson Disease	disease	Neoplasms	407	C0027819	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases ; Neoplasms	405	C0009402	ALL
C0030567	Parkinson Disease	disease	Neoplasms	403	C0025202	ALL
C0030567	Parkinson Disease	disease	null	402	C0700095	ALL
C0030567	Parkinson Disease	disease	Nutritional and Metabolic Diseases ; Pathological Conditions, Signs and Symptoms	400	C0028754	ALL
C0030567	Parkinson Disease	disease	null	385	C0684249	ALL
C0030567	Parkinson Disease	disease	Endocrine System Diseases ; Nutritional and Metabolic Diseases	383	C0011860	ALL
C0030567	Parkinson Disease	disease	null	375	C0699790	ALL
C0030567	Parkinson Disease	disease	Neoplasms	372	C0017638	ALL
C0030567	Parkinson Disease	group	Neoplasms ; Skin and Connective Tissue Diseases	371	C1458155	ALL
C0030567	Parkinson Disease	disease	Endocrine System Diseases ; Female Urogenital Diseases and Pregnancy Complications ; Neoplasms	370	C1140680	ALL
C0030567	Parkinson Disease	disease	null	370	C1306460	ALL
C0030567	Parkinson Disease	group	Endocrine System Diseases ; Nutritional and Metabolic Diseases	361	C0011849	ALL
C0030567	Parkinson Disease	disease	null	358	C0029925	ALL
C0030567	Parkinson Disease	disease	Neoplasms ; Respiratory Tract Diseases	357	C0007131	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases ; Neoplasms	356	C0007102	ALL
C0030567	Parkinson Disease	disease	Digestive System Diseases ; Neoplasms	355	C0024623	ALL
C0030567	Parkinson Disease	disease	null	349	C0235974	ALL
C0030567	Parkinson Disease	disease	null	348	C0699791	ALL
