Entry name	Protein names	Status	Gene names  (primary )
AOFB_HUMAN	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	MAOB
AOFB_RAT	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	Maob
AOFB_MOUSE	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	Maob
AOFB_BOVIN	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	MAOB
AOFB_CAVPO	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	MAOB
AOFB_CANLF	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	MAOB
AOFB_PIG	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	MAOB
AOFB_PONAB	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	reviewed	MAOB
FEAB_ECOLI	Phenylacetaldehyde dehydrogenase (PAD) (EC 1.2.1.39)	reviewed	feaB
AOFB_DICDI	Probable flavin-containing monoamine oxidase B (EC 1.4.3.4)	reviewed	maoB-1; maoB-2
FEAR_ECOLI	Transcriptional activator FeaR	reviewed	feaR
K7GKH7_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
F1PFF8_CANLF	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
F1LPM4_RAT	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	Maob
Q5NU31_HORSE	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
H2QYH6_PANTR	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G1SFF7_RABIT	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G1MD91_AILME	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
H0UV57_CAVPO	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	Maob
I3M590_ICTTR	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
M3YMT0_MUSPF	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G3VQG9_SARHA	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
F7IRJ7_CALJA	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
H2PVD2_PONAB	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
W5NZA9_SHEEP	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
F6UIH3_MONDO	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
AOFA_CANLF	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	reviewed	MAOA
AOFA_MOUSE	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	reviewed	Maoa
AMO_ECOLI	Primary amine oxidase (EC 1.4.3.21) (2-phenylethylamine oxidase) (Copper amine oxidase) (Tyramine oxidase)	reviewed	tynA
AOFA_DICDI	Probable flavin-containing monoamine oxidase A (EC 1.4.3.4)	reviewed	maoA
AOF_DANRE	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (MAO) (Z-MAO)	reviewed	mao
AOFA_BOVIN	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	reviewed	MAOA
AOFA_HUMAN	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	reviewed	MAOA
AOFC_DICDI	Probable flavin-containing monoamine oxidase C (EC 1.4.3.4)	reviewed	maoC-1; maoC-2
B8NU56_ASPFN	Mao-B, putative	unreviewed	
B8N9K6_ASPFN	Mao-B, putative	unreviewed	
G3J7M2_CORMM	Mao-B, putative	unreviewed	
B8MAL6_TALSN	Mao-B, putative	unreviewed	
B7Z242_HUMAN	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	
Q8TBI1_HUMAN	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
Q54RP5_DICDI	Uncharacterized protein	unreviewed	
W4Z7Z7_STRPU	Uncharacterized protein	unreviewed	Sp-Maob
U3EKD9_CALJA	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
U3C6U3_CALJA	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
H9EV22_MACMU	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
I2CVT8_MACMU	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
F7D3H3_MACMU	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
A0A140T837_BOVIN	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
F6Q6A2_ORNAN	Uncharacterized protein	unreviewed	MAOB
H2PVD3_PONAB	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
K7ATT8_PANTR	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
M3WI74_FELCA	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
A0A096P0S6_PAPAN	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
A0A096P0S5_PAPAN	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
Q0EAA9_HORSE	Monoamine oxidase B (Fragment)	unreviewed	MAOB
G3TEC4_LOXAF	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G3UAR5_LOXAF	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
A0A0D9RN88_CHLSB	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
I3LEH4_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
K7GP88_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOA
F1RX00_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOA
K7GN75_PIG	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOA
G1QPV3_NOMLE	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G3QD91_GORGO	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase)	unreviewed	MAOB
G1NVL8_MYOLU	Amine oxidase [flavin-containing] (EC 1.4.3.4) (Monoamine oxidase) (Fragment)	unreviewed	MAOB
A0A161LR16_9MICO	Phenylacetaldehyde dehydrogenase	unreviewed	maoB
