Entry name	Protein names	Status	Gene names  (primary )
TAU_HUMAN	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	reviewed	MAPT
TAU_MOUSE	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	reviewed	Mapt
LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	reviewed	LRRK2
TAU_RAT	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	reviewed	Mapt
GSK3B_HUMAN	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	reviewed	GSK3B
A4_HUMAN	Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Beta-amyloid precursor protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	reviewed	APP
TAU_BOVIN	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	reviewed	MAPT
GSK3B_MOUSE	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	reviewed	Gsk3b
KC1D_HUMAN	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	reviewed	CSNK1D
SQSTM_HUMAN	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	reviewed	SQSTM1
TAU_PANTR	Microtubule-associated protein tau	reviewed	MAPT
APOE_HUMAN	Apolipoprotein E (Apo-E)	reviewed	APOE
1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	reviewed	YWHAZ
SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	reviewed	SNCA
CDK5_MOUSE	Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (CR6 protein kinase) (CRK6) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	reviewed	Cdk5
ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	reviewed	ABL1
MARK2_HUMAN	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	reviewed	MARK2
SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	reviewed	SGK1
GSK3B_RAT	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Factor A) (FA) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	reviewed	Gsk3b
EPM2A_HUMAN	Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Lafora PTPase) (LAFPTPase)	reviewed	EPM2A
OGT1_HUMAN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	reviewed	OGT
LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	reviewed	LCK
TAU_MACMU	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	reviewed	MAPT
A4_MOUSE	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloidogenic glycoprotein) (AG) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (APP-C99); Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (APP-C59) (Amyloid intracellular domain 59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (APP-C57) (Amyloid intracellular domain 57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AID(50)) (Gamma-CTF(50)); C31]	reviewed	App
ABL1_MOUSE	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	reviewed	Abl1
CDK5_HUMAN	Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	reviewed	CDK5
AAPK1_MOUSE	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	reviewed	Prkaa1
AAPK1_PIG	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (AMPK 63 kDa subunit) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26) (Fragments)	reviewed	PRKAA1
AAPK1_RAT	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	reviewed	Prkaa1
AATF_HUMAN	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	reviewed	AATF
AAPK1_PONAB	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26) (Fragment)	reviewed	PRKAA1
A4_PIG	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	reviewed	APP
AATF_RAT	Protein AATF (Apoptosis-antagonizing transcription factor)	reviewed	Aatf
A4_MACFA	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	reviewed	APP
A4_PANTR	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	reviewed	APP
A4_SAISC	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	reviewed	APP
A4_RAT	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloidogenic glycoprotein) (AG) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	reviewed	App
AAPK1_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	reviewed	PRKAA1
AATF_MOUSE	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1) (Traube protein)	reviewed	Aatf
BIN1_HUMAN	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)	reviewed	BIN1
BIN1_MOUSE	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1) (SH3 domain-containing protein 9)	reviewed	Bin1
BRSK1_MOUSE	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B)	reviewed	Brsk1
BRSK1_RAT	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B)	reviewed	Brsk1
BRSK2_RAT	Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase SAD-A)	reviewed	Brsk2
