Entry name	Protein names	Status	Gene names  (primary )
PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	reviewed	PINK1
PINK1_MOUSE	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	reviewed	Pink1
PRKN2_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 6.3.2.-) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	reviewed	PARK2
B5DFG1_RAT	Pink1 protein (Protein Pink1)	unreviewed	Pink1
PINK1_CAEEL	Serine/threonine-protein kinase pink-1, mitochondrial (EC 2.7.11.1) (PTEN-induced kinase 1 homolog)	reviewed	pink-1
A5PJP5_BOVIN	PINK1 protein (Uncharacterized protein)	unreviewed	PINK1
Q0KHV6_DROME	FI19430p1 (PTEN-induced putative kinase 1, isoform A) (PTEN-induced putative kinase 1, isoform B) (PTEN-induced putative kinase 1, isoform C) (PTEN-induced putative kinase 1, isoform D) (PTEN-induced putative kinase 1, isoform E) (PTEN-induced putative kinase 1, isoform F) (PTEN-induced putative kinase 1, isoform G) (EC 2.7.11.-) (PTEN-induced putative kinase 1, isoform H) (PTEN-induced putative kinase 1, isoform I)	unreviewed	Pink1
PARK7_HUMAN	Protein deglycase DJ-1 (DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (Oncogene DJ1) (Parkinson disease protein 7)	reviewed	PARK7
D3Z9M9_RAT	PTEN induced putative kinase 1 (Predicted) (Protein Pink1)	unreviewed	Pink1
Q5PRB2_DANRE	PTEN induced putative kinase 1 (Pink1 protein)	unreviewed	pink1
A0A0K8V6D0_BACLA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1_1
UBC_HUMAN	Polyubiquitin-C [Cleaved into: Ubiquitin]	reviewed	UBC
PRKN2_MOUSE	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	reviewed	Park2
Q961J3_DROME	GH20931p	unreviewed	Pink1
LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	reviewed	LRRK2
UBB_HUMAN	Polyubiquitin-B [Cleaved into: Ubiquitin]	reviewed	UBB
H2PY88_PANTR	PTEN induced putative kinase 1 (Uncharacterized protein)	unreviewed	PINK1
E2RCD1_CANLF	Uncharacterized protein	unreviewed	PINK1
F1SU10_PIG	Uncharacterized protein	unreviewed	PINK1
RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	reviewed	RPS27A
M3VVE8_FELCA	Uncharacterized protein	unreviewed	PINK1
F1NAN0_CHICK	Uncharacterized protein	unreviewed	PINK1
F6Y023_HORSE	Uncharacterized protein	unreviewed	PINK1
F7FR77_MONDO	Uncharacterized protein	unreviewed	PINK1
F6YRH5_ORNAN	Uncharacterized protein	unreviewed	PINK1
RL40_HUMAN	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]	reviewed	UBA52
BNIP3_CAEEL	NIP3 homolog (CeBNIP3) (Daf-16/FOXO controlled germline tumor affecting-1)	reviewed	dct-1
EED_HUMAN	Polycomb protein EED (hEED) (WD protein associating with integrin cytoplasmic tails 1) (WAIT-1)	reviewed	EED
FBX7_HUMAN	F-box only protein 7	reviewed	FBXO7
FBX7_RAT	F-box only protein 7	reviewed	Fbxo7
FBX7_BOVIN	F-box only protein 7	reviewed	FBXO7
FBX7_MOUSE	F-box only protein 7	reviewed	Fbxo7
LRK1_CAEEL	Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1) (Leucine-rich repeats, ras-like domain, kinase protein 1) (PARK8-related kinase)	reviewed	lrk-1
MFN1_MOUSE	Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1)	reviewed	Mfn1
MFN2_MOUSE	Mitofusin-2 (EC 3.6.5.-) (Hypertension-related protein 1) (Mitochondrial assembly regulatory factor) (HSG protein) (Transmembrane GTPase MFN2)	reviewed	Mfn2
MFN2_RAT	Mitofusin-2 (EC 3.6.5.-) (Mitochondrial transmembrane GTPase FZO1A) (Protein HSG) (Transmembrane GTPase MFN2)	reviewed	Mfn2
MIRO1_HUMAN	Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1) (EC 3.6.5.-) (Rac-GTP-binding protein-like protein) (Ras homolog gene family member T1)	reviewed	RHOT1
MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	reviewed	MFN2
MLP3B_HUMAN	Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)	reviewed	MAP1LC3B
PARK7_BOVIN	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Parkinson disease protein 7 homolog)	reviewed	PARK7
PARK7_RAT	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Contraception-associated protein 1) (Protein CAP1) (Fertility protein SP22) (Parkinson disease protein 7 homolog)	reviewed	Park7
PARK7_MOUSE	Protein deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (Parkinson disease protein 7 homolog)	reviewed	Park7
