Entry name	Protein names	Status	Gene names  (primary )
SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	reviewed	SNCA
SYUA_MOUSE	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	reviewed	Snca
SYUA_RAT	Alpha-synuclein	reviewed	Snca
SYUA_PIG	Alpha-synuclein	reviewed	SNCA
SYUA_BOVIN	Alpha-synuclein	reviewed	SNCA
SYUA_PANTR	Alpha-synuclein	reviewed	SNCA
SYUA_GORGO	Alpha-synuclein	reviewed	SNCA
LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	reviewed	LRRK2
Q9I9H1_CHICK	Alpha-synuclein	unreviewed	SNCA
E2RDD9_CANLF	Alpha-synuclein	unreviewed	SNCA
G1M951_AILME	Alpha-synuclein	unreviewed	SNCA
H2PDW8_PONAB	Alpha-synuclein	unreviewed	SNCA
G1U0V2_RABIT	Alpha-synuclein	unreviewed	SNCA
F7GY62_CALJA	Alpha-synuclein	unreviewed	SNCA
K7FW98_PELSI	Alpha-synuclein	unreviewed	SNCA
M3Z596_MUSPF	Alpha-synuclein	unreviewed	SNCA
H0VPZ2_CAVPO	Alpha-synuclein	unreviewed	SNCA
G1PBR4_MYOLU	Gamma-synuclein	unreviewed	SNCA
I3N7G4_ICTTR	Alpha-synuclein	unreviewed	SNCA
U3JU64_FICAL	Alpha-synuclein	unreviewed	SNCA
M3WF70_FELCA	Alpha-synuclein	unreviewed	SNCA
W5QAX7_SHEEP	Gamma-synuclein	unreviewed	SNCA
U3IPK7_ANAPL	Gamma-synuclein	unreviewed	SNCA
F6U044_HORSE	Alpha-synuclein	unreviewed	SNCA
G3T7Z3_LOXAF	Alpha-synuclein	unreviewed	SNCA
R4GAF5_ANOCA	Alpha-synuclein	unreviewed	SNCA
1433F_HUMAN	14-3-3 protein eta (Protein AS1)	reviewed	YWHAH
ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	reviewed	ABL1
1433F_MOUSE	14-3-3 protein eta	reviewed	Ywhah
ARP19_HUMAN	cAMP-regulated phosphoprotein 19 (ARPP-19)	reviewed	ARPP19
ARP19_MOUSE	cAMP-regulated phosphoprotein 19 (ARPP-19)	reviewed	Arpp19
ATG32_YEAST	Autophagy-related protein 32 (Extracellular mutant protein 37)	reviewed	ATG32
ARP19_BOVIN	cAMP-regulated phosphoprotein 19 (ARPP-19)	reviewed	ARPP19
ARP19_PIG	cAMP-regulated phosphoprotein 19 (ARPP-19)	reviewed	ARPP19
ARP19_RAT	cAMP-regulated phosphoprotein 19 (ARPP-19)	reviewed	Arpp19
