Entry name	Protein names	Status	Gene names  (primary )
BST1_HUMAN	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157)	reviewed	BST1
BST1_MOUSE	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Antigen BP3) (BP-3 alloantigen) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (Leukocyte antigen 65) (Ly-65) (CD antigen CD157)	reviewed	Bst1
BST1_RAT	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157)	reviewed	Bst1
SGPL_YEAST	Sphingosine-1-phosphate lyase (S1PL) (SP-lyase) (ySPL) (EC 4.1.2.27) (Bestowed of sphingosine tolerance 1) (Sphingosine-1-phosphate aldolase)	reviewed	DPL1
BST1_YEAST	GPI inositol-deacylase (EC 3.1.-.-) (Bypass of SEC30 protein 1)	reviewed	BST1
BST1_SCHPO	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	bst1
IP5P5_ARATH	Type I inositol polyphosphate 5-phosphatase 5 (At5PTase5) (EC 3.1.3.-) (Protein BRISTLED 1) (Protein DEFORMED ROOT HAIRS 4)	reviewed	IP5P5
BST1_ASHGO	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_CANGA	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_KLULA	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_DEBHA	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_NEUCR	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	bst-1
BST1_EMENI	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	bst1
BST1_ASPTN	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	bst1
A0A0K1NXH2_9STRA	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	unreviewed	rbcL
BST1_CHAGB	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_COCIM	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_ASPOR	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	bst1
BST1_CRYNJ	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_ASPFU	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	bst1
BST1_CRYNB	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_USTMA	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_PHANO	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
BST1_CANAL	GPI inositol-deacylase (EC 3.1.-.-)	reviewed	BST1
A1CHZ0_ASPCL	Sphinganine-1-phosphate aldolase BST1, putative	unreviewed	
V5G3T3_BYSSN	Sphinganine-1-phosphate aldolase BST1	unreviewed	
A0A0F7RTU3_9BASI	Related to BST1-negative regulator of COPII vesicle formation (Uncharacterized protein)	unreviewed	SSCI39340.1
A0A0L8RK36_SACEU	BST1-like protein	unreviewed	
A0A0D4RN98_YEASX	Bst1p	unreviewed	BST1
A0A0F4YYG0_TALEM	GPI maturation protein (Bst1)	unreviewed	
A0A0D4JNS4_YEASX	Bst1p	unreviewed	BST1
A0A0D4RD67_YEASX	Bst1p	unreviewed	BST1
A0A074WNF8_9PEZI	Putative sphinganine-1-phosphate aldolase BST1	unreviewed	
A1CDN7_ASPCL	GPI maturation protein (Bst1), putative	unreviewed	
A0A0D4RKG7_YEASX	Bst1p	unreviewed	BST1
A0A0D4JPW3_YEASX	Bst1p	unreviewed	BST1
A0A0D4RHH7_YEASX	Bst1p	unreviewed	BST1
W7RFL4_YEASX	Bst1p	unreviewed	Bst1
A0A024XSI4_YEASX	Bst1p	unreviewed	Bst1
A0A0D4RNG8_YEASX	Bst1p	unreviewed	BST1
A0A0D4JKZ0_YEASX	Bst1p	unreviewed	BST1
A0A0D4JD01_YEASX	Bst1p	unreviewed	BST1
A0A0D4RJD2_YEASX	Bst1p	unreviewed	BST1
A0A0D4JJJ7_YEASX	Bst1p	unreviewed	BST1
A0A0D4RRX6_YEASX	Bst1p	unreviewed	BST1
A0A0D4JGC5_YEASX	Bst1p	unreviewed	BST1
A0A0D4JE58_YEASX	Bst1p	unreviewed	BST1
W6QG44_PENRF	GPI inositol-deacylase	unreviewed	bst1
B3LUI6_YEAS1	Uncharacterized protein	unreviewed	
A0A0D4JNL3_YEASX	Bst1p	unreviewed	BST1
A0A0D4RF36_YEASX	Bst1p	unreviewed	BST1
A0A0D4RJD8_YEASX	Bst1p	unreviewed	BST1
A0A0D4RIE4_YEASX	Bst1p	unreviewed	BST1
A0A0D4RSH4_YEASX	Bst1p	unreviewed	BST1
A0A0D4JGI0_YEASX	Bst1p	unreviewed	BST1
A0A024Y3R9_YEASX	Bst1p (Fragment)	unreviewed	Bst1
A0A0D4RMV8_YEASX	Bst1p	unreviewed	BST1
A0A074WLJ9_9PEZI	Sphinganine-1-phosphate aldolase BST1	unreviewed	
A0A0D4RG83_YEASX	Bst1p	unreviewed	BST1
A0A0L1IPZ9_ASPNO	Sphinganine-1-phosphate aldolase BST1	unreviewed	
A0A0L1JG22_ASPNO	Sphinganine-1-phosphate aldolase BST1	unreviewed	
G7X886_ASPKW	Sphinganine-1-phosphate aldolase Bst1	unreviewed	
A0A0D4RM18_YEASX	Bst1p	unreviewed	BST1
A0A0E1S0C3_COCIM	Sphinganine-1-phosphate aldolase BST1	unreviewed	
A0A0D4RK83_YEASX	Bst1p	unreviewed	BST1
G2WDB6_YEASK	K7_Bst1p	unreviewed	K7_BST1
A0A0D4RI22_YEASX	Bst1p	unreviewed	BST1
C5GFQ5_AJEDR	Sphinganine-1-phosphate aldolase BST1	unreviewed	
A0A0D4JFP1_YEASX	Bst1p	unreviewed	BST1
A0A0D4JDN1_YEASX	Bst1p	unreviewed	BST1
A0A0D4RN72_YEASX	Bst1p	unreviewed	BST1
A0A0J9X2Z1_GEOCN	Similar to Saccharomyces cerevisiae YFL025C BST1 GPI inositol deacylase of the ER that negatively regulates COPII vesicle formation	unreviewed	
A0A0J9X4C4_GEOCN	Similar to Saccharomyces cerevisiae YFL025C BST1 GPI inositol deacylase of the ER that negatively regulates COPII vesicle formation	unreviewed	
A0A0D4JNB9_YEASX	Bst1p	unreviewed	BST1
A0A0D4JN09_YEASX	Bst1p	unreviewed	BST1
A0A151W5B6_HYPMA	GPI inositol-deacylase	unreviewed	bst-1
A0A0D4RH48_YEASX	Bst1p	unreviewed	BST1
A0A0D4RKU2_YEASX	Bst1p	unreviewed	BST1
Q4WPU3_ASPFU	Sphinganine-1-phosphate aldolase BST1, putative (EC 4.1.2.27)	unreviewed	
A0A0D4RL64_YEASX	Bst1p	unreviewed	BST1
A0A0D4RGK3_YEASX	Bst1p	unreviewed	BST1
A0A0D4RER8_YEASX	Bst1p	unreviewed	BST1
A0A0D4RQH8_YEASX	Bst1p	unreviewed	BST1
A0A0D4JLY6_YEASX	Bst1p	unreviewed	BST1
A0A0D4RIF6_YEASX	Bst1p	unreviewed	BST1
C8Z7Q8_YEAS8	Bst1p	unreviewed	
V5FYV2_BYSSN	GPI maturation protein (Bst1), putative	unreviewed	
A0A0D4RI75_YEASX	Bst1p	unreviewed	BST1
A0A0D4JDV8_YEASX	Bst1p	unreviewed	BST1
A0A0D4RH13_YEASX	Bst1p	unreviewed	BST1
A0A117DXL1_ASPNG	Sphinganine-1-phosphate aldolase Bst1	unreviewed	
A0A0D4JS85_YEASX	Bst1p	unreviewed	BST1
A0A0U5G387_9EURO	Putative Sphinganine-1-phosphate aldolase Bst1	unreviewed	
A0A0D4JHX4_YEASX	Bst1p	unreviewed	BST1
E9CW96_COCPS	Sphinganine-1-phosphate aldolase BST1	unreviewed	
A0A0D4JJK7_YEASX	Bst1p	unreviewed	BST1
A0A0D4RN46_YEASX	Bst1p	unreviewed	BST1
B0Y6N4_ASPFC	Sphinganine-1-phosphate aldolase BST1, putative	unreviewed	
B0YCR4_ASPFC	GPI maturation protein (Bst1), putative	unreviewed	
A0A0D4RPL8_YEASX	Bst1p	unreviewed	BST1
A0A0D4RL33_YEASX	Bst1p	unreviewed	BST1
A0A0D4RLJ3_YEASX	Bst1p	unreviewed	BST1
B8MX65_ASPFN	GPI maturation protein (Bst1), putative	unreviewed	
B8N0W9_ASPFN	Sphinganine-1-phosphate aldolase BST1, putative	unreviewed	
