Entry	Entry name	Protein names	Status	Gene names  (primary )
P21237	BDNF_MOUSE	Brain-derived neurotrophic factor (BDNF)	reviewed	Bdnf
P23363	BDNF_RAT	Brain-derived neurotrophic factor (BDNF)	reviewed	Bdnf
P23560	BDNF_HUMAN	Brain-derived neurotrophic factor (BDNF) (Abrineurin)	reviewed	BDNF
P14082	BDNF_PIG	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q5IS78	BDNF_PANTR	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
P25429	BDNF_CHICK	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q95106	BDNF_BOVIN	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q7YRB4	BDNF_CANLF	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q9TST3	BDNF_FELCA	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
O70183	BDNF_CAVPO	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q0EAB7	BDNF_HORSE	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q4JHT7	Q4JHT7_TAEGU	BDNF	unreviewed	BDNF
Q06225	BDNF_MACMU	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
S4Z0H1	S4Z0H1_TRASE	Brain derived neurotrophic factor isoform b prepro protein transcript variant 2b (Truncated brain derived neurotrophic factor isoform b prepro protein transcript variant 2c) (Truncated brain derived neurotrophic factor isoform b prepro protein transcript variant 2d) (Truncated brain derived neurotrophic factor isoform b prepro protein transcript variant 3a) (Truncated brain derived neurotrophic factor isoform b prepro protein transcript variant 3b)	unreviewed	BDNF2c
Q6LCI5	BDNF_AILME	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
O18753	BDNF_HELMA	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
O18752	BDNF_URSAR	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
O97759	BDNF_AILFU	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q49M28	BDNF_LIPVE	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q4L0Y3	BDNF_SPECI	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
O18755	BDNF_PROLO	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q3SAT7	BDNF_URSTH	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
F7FZI0	F7FZI0_MONDO	Brain derived neurotrophic factor	unreviewed	BDNF
Q6NZ01	Q6NZ01_DANRE	Bdnf protein (Brain-derived neurotrophic factor)	unreviewed	bdnf
F6JXV7	F6JXV7_TRASE	Brain derived neurotrophic factor isoform a prepro protein transcript variant 1a (Brain derived neurotrophic factor isoform a prepro protein transcript variant 1b) (Brain derived neurotrophic factor isoform a prepro protein transcript variant 1c) (Brain-derived neurotrophic factor transcript variant 1) (Brain-derived neurotrophic factor transcript variant 3) (Brain-derived neurotrophic factor transcript variant 4)	unreviewed	BDNF
K4MNE5	K4MNE5_CHICK	Brain-derived neurotrophic factor transcript variant 1 (Brain-derived neurotrophic factor transcript variant 2) (Brain-derived neurotrophic factor transcript variant 4)	unreviewed	BDNF
Q1X702	BDNF_ACRJA	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X700	BDNF_ANISC	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X701	BDNF_CYLRU	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X6Z8	BDNF_ERYCN	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1HN36	BDNF_ERYJY	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1HN33	BDNF_LOXBI	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q02193	BDNF_XIPMA	Brain-derived neurotrophic factor (BDNF)	reviewed	bdnf
Q1HN40	BDNF_ASPME	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X707	BDNF_CANCA	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X704	BDNF_EXIPL	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1HN31	BDNF_LICTR	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1HN42	BDNF_CHISR	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X711	BDNF_CORCI	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q90322	BDNF_CYPCA	Brain-derived neurotrophic factor (BDNF)	reviewed	bdnf
Q1HN34	BDNF_ERYCC	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1HN32	BDNF_ERYJO	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
P25430	BDNF_RAJCL	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	bdnf
Q1X710	BDNF_EPICE	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X709	BDNF_EUNNO	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
P25431	BDNF_MACLB	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X703	BDNF_MORSI	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1X705	BDNF_SANME	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
Q1HN38	BDNF_XENUN	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
P25432	BDNF_XENLA	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	bdnf
Q8QG74	BDNF_CYCMA	Brain-derived neurotrophic factor (BDNF)	reviewed	BDNF
Q1X6Z5	BDNF_RAMSP	Brain-derived neurotrophic factor (BDNF) (Fragment)	reviewed	BDNF
