Entry	Entry name	Protein names	Status	Gene names  (primary )
P18901	DRD1_RAT	D(1A) dopamine receptor (Dopamine D1 receptor)	reviewed	Drd1
Q61616	DRD1_MOUSE	D(1A) dopamine receptor (Dopamine D1 receptor)	reviewed	Drd1
P21728	DRD1_HUMAN	D(1A) dopamine receptor (Dopamine D1 receptor)	reviewed	DRD1
Q9SIW2	CHR35_ARATH	Protein CHROMATIN REMODELING 35 (Protein DEFECTIVE IN MERISTEM SILENCING 1) (Protein DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 1)	reviewed	DRD1
H0YPZ4	H0YPZ4_TAEGU	Uncharacterized protein	unreviewed	DRD1
Q95136	DRD1_BOVIN	D(1A) dopamine receptor (Dopamine D1 receptor)	reviewed	DRD1
O77680	DRD1_MACMU	D(1A) dopamine receptor (Dopamine D1 receptor)	reviewed	DRD1
G1NR41	G1NR41_MELGA	Dopamine receptor D1	unreviewed	DRD1
F1PI21	F1PI21_CANLF	Dopamine receptor D1	unreviewed	DRD1
G3V933	G3V933_RAT	D(1A) dopamine receptor (Dopamine receptor D1A, isoform CRA_a)	unreviewed	Drd1
H2QS18	H2QS18_PANTR	Dopamine receptor D1	unreviewed	DRD1
M3VVD1	M3VVD1_FELCA	Dopamine receptor D1	unreviewed	DRD1
G1KQJ5	G1KQJ5_ANOCA	Dopamine receptor D1	unreviewed	DRD1
F6T0L6	F6T0L6_MONDO	Dopamine receptor D1	unreviewed	DRD1
G1SML2	G1SML2_RABIT	D(1A) dopamine receptor	unreviewed	DRD1
H2PHF2	H2PHF2_PONAB	Dopamine receptor D1	unreviewed	DRD1
F7GPB6	F7GPB6_CALJA	D(1A) dopamine receptor (Dopamine receptor D1)	unreviewed	DRD1
H0WHG7	H0WHG7_OTOGA	Dopamine receptor D1	unreviewed	DRD1
G1PW11	G1PW11_MYOLU	Dopamine receptor D1	unreviewed	DRD1
K7EWF7	K7EWF7_PELSI	Dopamine receptor D1	unreviewed	DRD1
I3MTN2	I3MTN2_ICTTR	Dopamine receptor D1	unreviewed	DRD1
W5PPK6	W5PPK6_SHEEP	Dopamine receptor D1	unreviewed	DRD1
M3Z6H4	M3Z6H4_MUSPF	Dopamine receptor D1	unreviewed	DRD1
H0VES0	H0VES0_CAVPO	Dopamine receptor D1	unreviewed	DRD1
A0A096MZY6	A0A096MZY6_PAPAN	Dopamine receptor D1	unreviewed	DRD1
