Entry name	Protein names	Status	Gene names  (primary )
LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	reviewed	LRRK2
LRRK2_MOUSE	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1)	reviewed	Lrrk2
F1LNJ1_RAT	Protein Lrrk2	unreviewed	Lrrk2
PRKN2_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 6.3.2.-) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	reviewed	PARK2
F1PHH4_CANLF	Uncharacterized protein	unreviewed	LRRK2
E1BPU0_BOVIN	Uncharacterized protein	unreviewed	LRRK2
H2Q5Q4_PANTR	Leucine-rich repeat kinase 2 (Uncharacterized protein)	unreviewed	LRRK2
M3XMD3_MUSPF	Uncharacterized protein	unreviewed	LRRK2
E1C5R5_CHICK	Uncharacterized protein	unreviewed	LRRK2
F1SHN7_PIG	Uncharacterized protein	unreviewed	LRRK2
H0YYY0_TAEGU	Uncharacterized protein (Fragment)	unreviewed	LRRK2
G1PDK4_MYOLU	Uncharacterized protein	unreviewed	LRRK2
F6TJ12_CALJA	Uncharacterized protein	unreviewed	LRRK2
M3VXC2_FELCA	Uncharacterized protein	unreviewed	LRRK2
U3K680_FICAL	Uncharacterized protein	unreviewed	LRRK2
A0A096MWP2_PAPAN	Uncharacterized protein	unreviewed	LRRK2
W5QFE4_SHEEP	Uncharacterized protein	unreviewed	LRRK2
G1KHH8_ANOCA	Uncharacterized protein	unreviewed	LRRK2
U3IYL7_ANAPL	Uncharacterized protein	unreviewed	LRRK2
F7D0F2_HORSE	Uncharacterized protein	unreviewed	LRRK2
F7C7Z0_MACMU	Uncharacterized protein	unreviewed	LRRK2
G1N5N3_MELGA	Uncharacterized protein (Fragment)	unreviewed	LRRK2
G3QLE5_GORGO	Uncharacterized protein	unreviewed	LRRK2
D2HTG2_AILME	Uncharacterized protein (Fragment)	unreviewed	LRRK2
K7ETK2_PONAB	Uncharacterized protein	unreviewed	LRRK2
H0WHJ6_OTOGA	Uncharacterized protein	unreviewed	LRRK2
1433B_HUMAN	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	reviewed	YWHAB
1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	reviewed	YWHAE
1433F_HUMAN	14-3-3 protein eta (Protein AS1)	reviewed	YWHAH
1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	reviewed	YWHAG
1433T_MOUSE	14-3-3 protein theta (14-3-3 protein tau)	reviewed	Ywhaq
