Entry	Entry name	Protein names	Status	Gene names  (primary )
O60260	PRKN2_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 6.3.2.-) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	reviewed	PARK2
Q9WVS6	PRKN2_MOUSE	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	reviewed	Park2
Q9JK66	PRKN2_RAT	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	reviewed	Park2
F1NWU0	F1NWU0_CHICK	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
H2QU08	H2QU08_PANTR	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
F6U1L3	F6U1L3_MACMU	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
H0ZGE3	H0ZGE3_TAEGU	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
H0X3U6	H0X3U6_OTOGA	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
I3N341	I3N341_ICTTR	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
U3KCF7	U3KCF7_FICAL	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
G1KBB3	G1KBB3_ANOCA	Uncharacterized protein	unreviewed	PARK2
G3MY23	G3MY23_BOVIN	Uncharacterized protein	unreviewed	PARK2
U3IYU6	U3IYU6_ANAPL	Uncharacterized protein	unreviewed	PARK2
G1P0U2	G1P0U2_MYOLU	Uncharacterized protein	unreviewed	PARK2
H2PKT8	H2PKT8_PONAB	Uncharacterized protein	unreviewed	PARK2
H0V739	H0V739_CAVPO	Uncharacterized protein	unreviewed	PARK2
F7HWP0	F7HWP0_CALJA	Uncharacterized protein	unreviewed	PARK2
F7C8N2	F7C8N2_ORNAN	Uncharacterized protein	unreviewed	PARK2
G3VUX3	G3VUX3_SARHA	Uncharacterized protein (Fragment)	unreviewed	PARK2
D2HF43	D2HF43_AILME	Uncharacterized protein (Fragment)	unreviewed	PARK2
A0A096MX93	A0A096MX93_PAPAN	Uncharacterized protein	unreviewed	PARK2
M3WQZ4	M3WQZ4_FELCA	Uncharacterized protein	unreviewed	PARK2
F6RA22	F6RA22_HORSE	Uncharacterized protein	unreviewed	PARK2
G3SS82	G3SS82_LOXAF	Uncharacterized protein (Fragment)	unreviewed	PARK2
H2SS28	H2SS28_TAKRU	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	park2
A0A0H2UKX4	A0A0H2UKX4_DANRE	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	park2
Q5XNR7	Q5XNR7_HUMAN	Parkin (Fragment)	unreviewed	PARK2
B1AKC3	B1AKC3_HUMAN	E3 ubiquitin-protein ligase parkin (Parkinson protein 2 E3 ubiquitin protein ligase isoform 2)	unreviewed	PARK2
D3JZW5	D3JZW5_HUMAN	Truncated parkin variant SV4,8DEL (EC 6.3.2.19) (Truncated parkin variant SV4DEL)	unreviewed	PARK2
