c0.source	c0.geneId	c0.associationType	c0.originalSource	c0.sentence	c0.pmid	c1.pantherName	c1.symbol	c1.description	c2.diseaseId	c2.name	c2.hpoName	c2.STY	c2.MESH	c2.diseaseClassName	c2.doName	c2.type	c2.OMIM	c3.score	c4.year
ALL	120892	GeneticVariation	BEFREE	The <span class= gene  id= 19640773-2-4-32 >leucine-rich repeat kinase 2</span> (<span class= gene  id= 19640773-2-34-39 >LRRK2</span>) gene is well known to predispose subjects to <span class= disease  id= 19640773-2-86-105 >Parkinson's disease</span> (<span class= disease  id= 19640773-2-107-109 >PD</span>).	19640773	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	BEFREE	Interestingly, <span class= gene  id= 26117366-11-15-20 >LRRK2</span> <span class= variant  dbSNP= rs34637584  genes_norm= 120892 >G2019S</span> carriers (n = 36), most of whom had <span class= disease  id= 26117366-11-64-83 >Parkinson's disease</span>, had higher enzymatic activity than non-carriers (13.69 mol/l/h versus 11.93 mol/l/h, P = 0.002).	26117366	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2015
ALL	120892	GeneticVariation	GAD	Parkin polymorphisms and environmental exposure	17335904	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2007
ALL	120892	GeneticVariation	GAD	Metabolomic profiling in LRRK2-related Parkinson's disease.	19847307	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2009
ALL	120892	GeneticVariation	BEFREE	Mutations in <span class= gene  id= 21306901-1-13-18 >PARK8</span>, encoding <span class= gene  id= 21306901-1-29-57 >leucine-rich repeat kinase 2</span> (<span class= gene  id= 21306901-1-59-64 >LRRK2</span>), are a major cause of <span class= disease  id= 21306901-1-88-107 >Parkinson's disease</span>.	21306901	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2011
ALL	120892	GeneticVariation	GAD	LRRK2 gene in Parkinson disease: mutation analysisand case control association study.	16157901	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2005
ALL	120892	GeneticVariation	GAD	Absence/rarity of commonly reported LRRK2 mutations in Indian Parkinson's disease patients	17052850	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	GeneticVariation	GAD	Identification and haplotype analysis of LRRK2 G2019S in Japanese patients with Parkinson disease	16728648	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2006
ALL	120892	Biomarker	BEFREE	Genetic testing of <span class= gene  id= 24262189-0-19-24 >LRRK2</span> in <span class= disease  id= 24262189-0-28-47 >Parkinson's disease</span>: is there a clinical role?	24262189	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2014
ALL	120892	Biomarker	BEFREE	Brain transcriptomic profiling in idiopathic and <span class= gene  id= 22634372-0-49-54 >LRRK2</span>-associated <span class= disease  id= 22634372-0-66-85 >Parkinson's disease</span>.	22634372	transferase; kinase	LRRK2	leucine rich repeat kinase 2	C0030567	Parkinson Disease	null	Disease or Syndrome	D010300	Nervous System Diseases	disease of anatomical entity	disease	516000	0.44	2012
