Entry name	Protein names	Status	Gene names  (primary )
PRKN2_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 6.3.2.-) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	reviewed	PARK2
PRKN2_MOUSE	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	reviewed	Park2
PRKN2_RAT	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	reviewed	Park2
PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	reviewed	PINK1
PACRG_HUMAN	Parkin coregulated gene protein (Molecular chaperone/chaperonin-binding protein) (PARK2 coregulated gene protein)	reviewed	PACRG
LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	reviewed	LRRK2
F1NWU0_CHICK	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
H2QU08_PANTR	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
F6U1L3_MACMU	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
H0ZGE3_TAEGU	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
H0X3U6_OTOGA	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
I3N341_ICTTR	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
U3KCF7_FICAL	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	unreviewed	PARK2
G1KBB3_ANOCA	Uncharacterized protein	unreviewed	PARK2
G3MY23_BOVIN	Uncharacterized protein	unreviewed	PARK2
U3IYU6_ANAPL	Uncharacterized protein	unreviewed	PARK2
G1P0U2_MYOLU	Uncharacterized protein	unreviewed	PARK2
H2PKT8_PONAB	Uncharacterized protein	unreviewed	PARK2
H0V739_CAVPO	Uncharacterized protein	unreviewed	PARK2
F7HWP0_CALJA	Uncharacterized protein	unreviewed	PARK2
F7C8N2_ORNAN	Uncharacterized protein	unreviewed	PARK2
G3VUX3_SARHA	Uncharacterized protein (Fragment)	unreviewed	PARK2
D2HF43_AILME	Uncharacterized protein (Fragment)	unreviewed	PARK2
A0A096MX93_PAPAN	Uncharacterized protein	unreviewed	PARK2
M3WQZ4_FELCA	Uncharacterized protein	unreviewed	PARK2
F6RA22_HORSE	Uncharacterized protein	unreviewed	PARK2
1433F_MOUSE	14-3-3 protein eta	reviewed	Ywhah
AIMP2_CRIGR	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	reviewed	AIMP2
AIMP2_RAT	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	reviewed	Aimp2
AIMP2_BOVIN	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	reviewed	AIMP2
AIMP2_MOUSE	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	reviewed	Aimp2
AIMP2_HUMAN	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	reviewed	AIMP2
BAG4_MOUSE	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	reviewed	Bag4
BAG5_HUMAN	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	reviewed	BAG5
BCL2_CANLF	Apoptosis regulator Bcl-2	reviewed	BCL2
