Entry	Entry name	Protein names	Status	Gene names  (primary )
P37840	SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	reviewed	SNCA
O55042	SYUA_MOUSE	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	reviewed	Snca
P37377	SYUA_RAT	Alpha-synuclein	reviewed	Snca
Q3T0G8	SYUA_BOVIN	Alpha-synuclein	reviewed	SNCA
P61145	SYUA_PANTR	Alpha-synuclein	reviewed	SNCA
P61143	SYUA_MACMU	Alpha-synuclein	reviewed	SNCA
P61140	SYUA_GORGO	Alpha-synuclein	reviewed	SNCA
Q3I5G7	SYUA_PIG	Alpha-synuclein	reviewed	SNCA
Q4JHT6	Q4JHT6_TAEGU	Alpha-synuclein	unreviewed	SNCA
E2RDD9	E2RDD9_CANLF	Alpha-synuclein	unreviewed	SNCA
G1U0V2	G1U0V2_RABIT	Alpha-synuclein	unreviewed	SNCA
G1M951	G1M951_AILME	Alpha-synuclein	unreviewed	SNCA
F7GY62	F7GY62_CALJA	Alpha-synuclein	unreviewed	SNCA
H2PDW8	H2PDW8_PONAB	Alpha-synuclein	unreviewed	SNCA
H0VPZ2	H0VPZ2_CAVPO	Alpha-synuclein	unreviewed	SNCA
K7FW98	K7FW98_PELSI	Alpha-synuclein	unreviewed	SNCA
M3Z596	M3Z596_MUSPF	Alpha-synuclein	unreviewed	SNCA
G1PBR4	G1PBR4_MYOLU	Gamma-synuclein	unreviewed	SNCA
U3JU64	U3JU64_FICAL	Alpha-synuclein	unreviewed	SNCA
M3WF70	M3WF70_FELCA	Alpha-synuclein	unreviewed	SNCA
I3N7G4	I3N7G4_ICTTR	Alpha-synuclein	unreviewed	SNCA
A0A0D9QW44	A0A0D9QW44_CHLSB	Alpha-synuclein	unreviewed	SNCA
A0A096MQY7	A0A096MQY7_PAPAN	Alpha-synuclein	unreviewed	SNCA
W5QAX7	W5QAX7_SHEEP	Gamma-synuclein	unreviewed	SNCA
U3IPK7	U3IPK7_ANAPL	Gamma-synuclein	unreviewed	SNCA
F6U044	F6U044_HORSE	Alpha-synuclein	unreviewed	SNCA
