Entry	Entry name	Protein names	Status	Gene names  (primary )
P10635	CP2D6_HUMAN	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)	reviewed	CYP2D6
Q2XNC8	CP2D6_PANTR	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (Cholesterol 25-hydroxylase)	reviewed	CYP2D6
Q2XNC9	CP2D6_PANPA	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (Cholesterol 25-hydroxylase)	reviewed	CYP2D6
E0D568	E0D568_FELCA	Cytochrome 2D6 (Cytochrome P450 2D6)	unreviewed	cyp2D6
Q6DCR5	Q6DCR5_XENLA	Cyp2d6-A-prov protein	unreviewed	cyp2d6
F6VCB3	F6VCB3_XENTR	Cytochrome P450 family 2 subfamily D member 6	unreviewed	cyp2d6
M3X978	M3X978_FELCA	Uncharacterized protein	unreviewed	CYP2D6
Q6NWU0	Q6NWU0_HUMAN	Cytochrome P450 2D6 (EC 1.14.14.1) (Cytochrome P450 2D6 variant) (Cytochrome P450, family 2, subfamily D, polypeptide 6)	unreviewed	CYP2D6
Q38LG0	Q38LG0_HUMAN	CYP2D6 (Cytochrome P450 2D6) (EC 1.14.14.1)	unreviewed	CYP2D6
Q6GUQ5	Q6GUQ5_MACMU	Cytochrome P450 CYP2D42	unreviewed	CYP2D42
Q2XND0	Q2XND0_HUMAN	Cytochrome P450 2D6 (EC 1.14.14.1)	unreviewed	CYP2D6
A0A0G2JLK7	A0A0G2JLK7_HUMAN	Cytochrome P450 2D6	unreviewed	CYP2D6
A0A1B0GV74	A0A1B0GV74_HUMAN	Cytochrome P450 2D6	unreviewed	CYP2D6
A0A0F7L0X4	A0A0F7L0X4_HUMAN	Nonfunctional cytochrome P450 2D6 (EC 1.14.14.1)	unreviewed	CYP2D6
A0A0F7KYR9	A0A0F7KYR9_HUMAN	Nonfunctional cytochrome P450 2D6 (EC 1.14.14.1)	unreviewed	CYP2D6
A0A1D5R938	A0A1D5R938_MACMU	Uncharacterized protein	unreviewed	CYP2D6
Q6ICD8	Q6ICD8_HUMAN	CYP2D6 protein (Cytochrome P450, family 2, subfamily D, polypeptide 6)	unreviewed	CYP2D6
G1S165	G1S165_NOMLE	Uncharacterized protein	unreviewed	CYP2D6
F7AMZ4	F7AMZ4_XENTR	Cytochrome P450 family 2 subfamily D member 6	unreviewed	cyp2d6
C1ID54	C1ID54_HUMAN	Cytochrome P450 2D6	unreviewed	CYP2D6
