Entry	Entry name	Protein names	Status	Gene names  (primary )
P08069	IGF1R_HUMAN	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	reviewed	IGF1R
P24062	IGF1R_RAT	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	reviewed	Igf1r
Q60751	IGF1R_MOUSE	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	reviewed	Igf1r
O73798	IGF1R_XENLA	Insulin-like growth factor 1 receptor (xIGF-1R) (xIGFR) (EC 2.7.10.1) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	reviewed	igf1r
Q05688	IGF1R_BOVIN	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain] (Fragment)	reviewed	IGF1R
Q29000	IGF1R_PIG	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) (Fragments)	reviewed	IGF1R
F1PXU6	F1PXU6_CANLF	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
H2QA49	H2QA49_PANTR	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
H2NP98	H2NP98_PONAB	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
H0V5D0	H0V5D0_CAVPO	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
M3YH59	M3YH59_MUSPF	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G1LGG8	G1LGG8_AILME	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
E9QNX9	E9QNX9_MOUSE	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
G3RAQ4	G3RAQ4_GORGO	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
F6SJA3	F6SJA3_MONDO	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G1K218	G1K218_BOVIN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G1TLR2	G1TLR2_RABIT	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
H0ZEE4	H0ZEE4_TAEGU	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
K7G9J6	K7G9J6_PELSI	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G1QJ59	G1QJ59_NOMLE	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
A0A140TAB8	A0A140TAB8_RAT	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
U3IM06	U3IM06_ANAPL	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
F6YQU0	F6YQU0_HORSE	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
F7IPL8	F7IPL8_CALJA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
H0X6D6	H0X6D6_OTOGA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G3WLB9	G3WLB9_SARHA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
C9J5X1	C9J5X1_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
H3BSZ8	H3BSZ8_HUMAN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
H0YMJ5	H0YMJ5_HUMAN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
H0YLE7	H0YLE7_HUMAN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
H0YNR0	H0YNR0_HUMAN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
Q3B833	Q3B833_HUMAN	IGF1R protein (Fragment)	unreviewed	IGF1R
A0A0V1JJS0	A0A0V1JJS0_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
V5H1R5	V5H1R5_ANOGL	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	IGF1R
A0A0B2V157	A0A0B2V157_TOXCA	Insulin-like growth factor 1 receptor	unreviewed	igf1r
I2CWY3	I2CWY3_MACMU	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
U3DD61	U3DD61_CALJA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
A7L5D1	A7L5D1_SHEEP	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
F1CK17	F1CK17_PIG	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
F7DLC9	F7DLC9_MACMU	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
A0A1D5R6B6	A0A1D5R6B6_MACMU	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
F7H7U9	F7H7U9_CALJA	Insulin like growth factor 1 receptor	unreviewed	IGF1R
H9F026	H9F026_MACMU	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
W5XTU7	W5XTU7_CANLF	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
G8GZ67	G8GZ67_BOVIN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
I3QHK5	I3QHK5_BOVIN	Insulin-like growth factor I receptor (Fragment)	unreviewed	IGF1R
I3WTW9	I3WTW9_BOVIN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
I6UW03	I6UW03_BOVIN	Insulin-like growth factor I receptor (Fragment)	unreviewed	IGF1R
I6ZLE8	I6ZLE8_BOVIN	Insulin-like growth factor I receptor (Fragment)	unreviewed	IGF1R
C9EEZ1	C9EEZ1_BOVIN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
I1SWI7	I1SWI7_BOVIN	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
E0X640	E0X640_AILME	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
G3SFD5	G3SFD5_GORGO	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
E2J5T6	E2J5T6_BOVIN	Insulin-like growth factor receptor type 1 (Fragment)	unreviewed	IGF1R
W5PJW7	W5PJW7_SHEEP	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
O18855	O18855_SHEEP	IGF1R (Fragment)	unreviewed	IGF1R
X4Y8Z9	X4Y8Z9_SHEEP	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
A0A076FVJ0	A0A076FVJ0_DESRO	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
G1PWB2	G1PWB2_MYOLU	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G1T855	G1T855_RABIT	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
A0A0D9RWL0	A0A0D9RWL0_CHLSB	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
M3WPQ6	M3WPQ6_FELCA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
E0X734	E0X734_FELCA	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	Igf1r
A0A096NNC9	A0A096NNC9_PAPAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
A0A076FVI5	A0A076FVI5_AMBHO	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	IGF1R
A0JGJ5	A0JGJ5_PIG	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
K7GLJ3	K7GLJ3_PIG	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
K7GMD7	K7GMD7_PIG	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
D7PCU2	D7PCU2_TRIVU	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
A0A076FWU7	A0A076FWU7_LOPEV	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
A0A1S2ZG47	A0A1S2ZG47_ERIEU	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
Q9XS87	Q9XS87_HORSE	Insulin-like growth factor I receptor (Fragment)	unreviewed	IGF1R
J7G3Y2	J7G3Y2_CERNI	Insulin like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
U6D754	U6D754_NEOVI	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	IGF1R
F6W873	F6W873_ORNAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G3UCL7	G3UCL7_LOXAF	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
G3T7X6	G3T7X6_LOXAF	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
M1RJ33	M1RJ33_BUBBU	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
B6UM06	B6UM06_BUBBU	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
M1Q751	M1Q751_BUBBU	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
G5DBJ3	G5DBJ3_BUBBU	Insulin like growth factor I receptor (Fragment)	unreviewed	IGF1R
S5M602	S5M602_BUBBU	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF-1R
A0A0X3NF87	A0A0X3NF87_SCHSO	Insulin-like growth factor 1 receptor (Fragment)	unreviewed	IGF1R
A0A0V0W566	A0A0V0W566_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0X3NU32	A0A0X3NU32_SCHSO	Receptor protein-tyrosine kinase (EC 2.7.10.1)	unreviewed	IGF1R
A0A0X3NPX8	A0A0X3NPX8_SCHSO	Insulin-like growth factor 1 receptor	unreviewed	IGF1R
A0A0V0W514	A0A0V0W514_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0X3PFM2	A0A0X3PFM2_SCHSO	Insulin-like growth factor 1 receptor	unreviewed	IGF1R
A0A0V0W5C0	A0A0V0W5C0_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1KR95	A0A0V1KR95_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V0RGB9	A0A0V0RGB9_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1CB08	A0A0V1CB08_TRIBR	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1CB90	A0A0V1CB90_TRIBR	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1AYY0	A0A0V1AYY0_TRISP	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
W8ASB6	W8ASB6_CERCA	Guanylate cyclase (EC 4.6.1.2)	unreviewed	IGF1R
W8B6W5	W8B6W5_CERCA	Guanylate cyclase (EC 4.6.1.2)	unreviewed	IGF1R
A0A0V1MKZ4	A0A0V1MKZ4_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1KQ38	A0A0V1KQ38_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1F6H6	A0A0V1F6H6_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
A0A0V1F7F1	A0A0V1F7F1_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
A0A0V1DUU6	A0A0V1DUU6_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1JK72	A0A0V1JK72_TRIPS	Insulin-like peptide receptor	unreviewed	Igf1r
A0A0V1JJW2	A0A0V1JJW2_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1JJZ0	A0A0V1JJZ0_TRIPS	Insulin-like growth factor 1 receptor	unreviewed	Igf1r
A0A0V1JJX5	A0A0V1JJX5_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1DU27	A0A0V1DU27_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
A0A0V1F8S7	A0A0V1F8S7_TRIPS	Insulin-like peptide receptor	unreviewed	Igf1r
A0A0V0YAD2	A0A0V0YAD2_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
A0A0V1JJT6	A0A0V1JJT6_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1F7E4	A0A0V1F7E4_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
A0A0V1JJU5	A0A0V1JJU5_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1HDU8	A0A0V1HDU8_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1DUD4	A0A0V1DUD4_TRIPS	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Fragment)	unreviewed	Igf1r
A0A0V1GVM4	A0A0V1GVM4_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A034VUF4	A0A034VUF4_BACDO	Guanylate cyclase (EC 4.6.1.2) (Fragment)	unreviewed	IGF1R
A0A0U2XIF1	A0A0U2XIF1_TEGGR	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	IGF1R
A0A0V1GWB3	A0A0V1GWB3_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1AZ68	A0A0V1AZ68_TRISP	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1NHI5	A0A0V1NHI5_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
A0A0V1NGY9	A0A0V1NGY9_9BILA	Tyrosine-protein kinase receptor (EC 2.7.10.1)	unreviewed	Igf1r
