Entry	Entry name	Protein names	Status	Gene names  (primary )
P04062	GLCM_HUMAN	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	reviewed	GBA
Q9H227	GBA3_HUMAN	Cytosolic beta-glucosidase (EC 3.2.1.21) (Cytosolic beta-glucosidase-like protein 1)	reviewed	GBA3
P17439	GLCM_MOUSE	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)	reviewed	Gba
Q9HCG7	GBA2_HUMAN	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Glucosylceramidase 2)	reviewed	GBA2
B2RYC9	B2RYC9_RAT	Glucosylceramidase (EC 3.2.1.45)	unreviewed	Gba
Q69ZF3	GBA2_MOUSE	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Glucosylceramidase 2)	reviewed	Gba2
P97265	GBA3_CAVPO	Cytosolic beta-glucosidase (EC 3.2.1.21)	reviewed	Gba3
E2R0I8	E2R0I8_CANLF	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
M3VVL7	M3VVL7_FELCA	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
F6VKK2	F6VKK2_MONDO	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
F1RGS2	F1RGS2_PIG	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
G3W179	G3W179_SARHA	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
F7GZ96	F7GZ96_CALJA	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
H0XZ17	H0XZ17_OTOGA	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
G1PMP8	G1PMP8_MYOLU	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
M3Y2I6	M3Y2I6_MUSPF	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
G1SD48	G1SD48_RABIT	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
I3MCK4	I3MCK4_ICTTR	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
A0A096NDR2	A0A096NDR2_PAPAN	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
A0A0D9S589	A0A0D9S589_CHLSB	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
G3SLB1	G3SLB1_LOXAF	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
F6WDY8	F6WDY8_HORSE	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
F1N1D5	F1N1D5_BOVIN	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
H0V090	H0V090_CAVPO	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
Q5M868	GBA2_RAT	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Glucosylceramidase 2)	reviewed	Gba2
W5P1A5	W5P1A5_SHEEP	Glucosylceramidase (EC 3.2.1.45)	unreviewed	GBA
P0DI69	CSPL1_GINBI	CASP-like protein 5A2 (GbCASPL5A2)	reviewed	
P0DI71	CSPL3_GINBI	CASP-like protein 5B1 (GbCASPL5B1)	reviewed	
P0DI70	CSPL2_GINBI	CASP-like protein 5A1 (GbCASPL5A1)	reviewed	
Q70KH2	GLCM_PIG	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)	reviewed	GBA
Q5RF65	GBA3_PONAB	Cytosolic beta-glucosidase (EC 3.2.1.21)	reviewed	GBA3
Q2KHZ8	GLCM_BOVIN	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)	reviewed	GBA
O16580	GLCM1_CAEEL	Putative glucosylceramidase 1 (EC 3.2.1.45)	reviewed	gba-1
Q9UB00	GLCM4_CAEEL	Putative glucosylceramidase 4 (EC 3.2.1.45)	reviewed	gba-4
G5ECR8	GLCM3_CAEEL	Putative glucosylceramidase 3 (EC 3.2.1.45)	reviewed	gba-3
Q5R8E3	GLCM_PONAB	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)	reviewed	GBA
O16581	GLCM2_CAEEL	Putative glucosylceramidase 2 (EC 3.2.1.45)	reviewed	gba-2
